,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2344,Kepler-170 b,2462.0,0.26 Jupiters,14.347,2014,Gas Giant,2014,0.26 Jupiters,0.285 x Jupiter,0.08 AU,,,,,,,,,
2345,Kepler-170 c,2462.0,8.55 Earths,14.347,2014,Neptune-like,2014,8.55 Earths,0.255 x Jupiter,0.131 AU,K2-209,Transit,86.231,,00h58m45.76s,+01d23m01.7s,4720.0,0.74,0.71
2346,Kepler-171 b,2888.0,6.08 Earths,14.905,2014,Neptune-like,2014,6.08 Earths,0.209 x Jupiter,0.05 AU,,,,,,,,,
2347,Kepler-171 c,2888.0,7.08 Earths,14.905,2014,Neptune-like,2014,7.08 Earths,0.228 x Jupiter,0.098 AU,K2-21,Transit,88.98,,22h41m12.88s,-14d29m20.4s,4222.06,0.68,0.65
2348,Kepler-171 d,2888.0,4.23 Earths,14.905,2014,Super Earth,2014,4.23 Earths,1.89 x Earth,0.223 AU,,,,,,,,,
2349,Kepler-172 b,2768.0,6.12 Earths,14.537,2014,Neptune-like,2014,6.12 Earths,0.21 x Jupiter,0.04 AU,K2-21,Transit,88.85,,22h41m12.88s,-14d29m20.4s,4222.06,0.68,0.65
2350,Kepler-172 c,2768.0,8.55 Earths,14.537,2014,Neptune-like,2014,8.55 Earths,0.255 x Jupiter,0.068 AU,,,,,,,,,
2351,Kepler-172 d,2768.0,5.69 Earths,14.537,2014,Neptune-like,2014,5.69 Earths,0.201 x Jupiter,0.118 AU,K2-210,Transit,84.105,,01h10m33.82s,+01d34m41.8s,5396.0,0.91,0.85
2352,Kepler-172 e,2768.0,8.05 Earths,14.537,2014,Neptune-like,2014,8.05 Earths,0.246 x Jupiter,0.211 AU,,,,,,,,,
2353,Kepler-173 b,2784.0,2.21 Earths,14.258,2014,Super Earth,2014,2.21 Earths,1.29 x Earth,0.048 AU,K2-211,Transit,81.569,,01h24m25.43s,+01d42m17.8s,5221.0,0.88,0.82
